0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,年,月,日,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,満潮時刻,満潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位,干潮時刻,干潮潮位
  0,  6, 11, 14, 14, 13,  9,  4, -1, -4, -6, -6, -3,  1,  6,  9, 10,  9,  6,  1, -4, -7, -9, -9,23, 3,23, 348, 14,16 3, 10,"","","","",1034, -6,2235, -9,"","","",""
 -7, -2,  4,  9, 11, 12, 11,  7,  3,  0, -2, -3, -2,  2,  6,  9, 11, 11,  9,  4, -1, -6, -9,-11,23, 3,24, 451, 12,1623, 11,"","","","",11 2, -3,2323,-11,"","","",""
-11, -8, -2,  3,  7,  9, 10,  9,  6,  4,  2,  2,  2,  4,  7, 10, 13, 13, 11,  8,  3, -2, -7,-10,23, 3,25, 553, 10,1643, 13,"","","","",1121,  2,"","","","","",""
-11,-10, -7, -2,  2,  5,  8,  9,  8,  7,  6,  6,  6,  7,  9, 12, 14, 14, 14, 11,  7,  2, -3, -6,23, 3,26, 7 0,  9,1659, 14,"","","","", 010,-11,11 4,  6,"","","",""
 -9,-10, -8, -5, -2,  2,  5,  7,  8,  8,  8,  8,  9, 10, 11, 13, 15, 16, 15, 14, 11,  7,  2, -2,23, 3,27,1710, 16,"","","","","","", 057,-10,"","","","","",""
 -5, -7, -7, -6, -4, -1,  2,  4,  7,  8,  9, 10, 11, 12, 14, 15, 16, 17, 16, 15, 13, 10,  7,  3,23, 3,28,1714, 17,"","","","","","", 147, -7,"","","","","",""
  0, -3, -4, -5, -4, -2,  0,  2,  5,  7,  9, 10, 12, 13, 15, 16, 16, 17, 17, 16, 15, 13, 10,  7,23, 3,29,1712, 17,"","","","","","", 247, -5,"","","","","",""
  4,  1, -1, -2, -3, -3, -2,  0,  2,  5,  7,  9, 11, 13, 15, 15, 16, 16, 16, 16, 15, 14, 12, 10,23, 3,30,17 8, 16,"","","","","","", 4 8, -3,"","","","","",""
  8,  5,  3,  0, -1, -2, -2, -1,  0,  3,  5,  8, 10, 12, 13, 14, 15, 15, 15, 14, 14, 14, 13, 12,23, 3,31,1645, 15,"","","","","","", 536, -2,"","","","","",""
 10,  8,  6,  3,  1, -1, -2, -3, -2,  0,  3,  6,  8, 10, 12, 12, 13, 12, 12, 12, 12, 12, 12, 12,23, 4, 1,1536, 13,2239, 13,"","","","", 639, -3,1933, 12,"","","",""
 12, 10,  8,  6,  3,  0, -2, -3, -3, -2,  1,  4,  7,  9, 10, 11, 10, 10,  9,  8,  8,  9, 10, 11,23, 4, 2,15 6, 11,"","","","","","", 726, -3,1934,  8,"","","",""
 12, 12, 10,  8,  5,  1, -1, -3, -4, -4, -1,  2,  5,  7,  9,  9,  9,  7,  6,  5,  5,  5,  7,  9,23, 4, 3, 0 8, 12,1456,  9,"","","","", 8 3, -4,1959,  5,"","","",""
 11, 11, 11,  9,  7,  3,  0, -3, -4, -5, -3,  0,  3,  6,  8,  8,  8,  6,  4,  2,  1,  1,  2,  5,23, 4, 4, 112, 11,1455,  8,"","","","", 835, -5,2031,  1,"","","",""
  8, 10, 11, 10,  9,  5,  2, -1, -4, -4, -4, -1,  2,  6,  8,  8,  8,  5,  3,  0, -2, -3, -2,  0,23, 4, 5, 2 7, 11,1458,  8,"","","","", 9 4, -4,21 5, -3,"","","",""
  4,  8, 10, 11, 10,  8,  4,  1, -2, -3, -3, -1,  2,  6,  8,  9,  8,  6,  3, -1, -4, -5, -6, -4,23, 4, 6, 3 0, 11,15 3,  9,"","","","", 930, -3,2140, -6,"","","",""
  0,  4,  8, 10, 11, 10,  7,  4,  1, -1, -1,  0,  3,  6,  9, 11, 10,  8,  5,  0, -4, -7, -8, -7,23, 4, 7, 353, 11,1512, 11,"","","","", 954, -1,2216, -8,"","","",""
 -5,  0,  5,  9, 11, 11, 10,  7,  5,  3,  2,  2,  4,  8, 11, 13, 13, 11,  8,  3, -2, -6, -9, -9,23, 4, 8, 447, 11,1527, 13,"","","","",1014,  2,2254, -9,"","","",""
 -8, -4,  1,  6,  9, 11, 12, 10,  8,  6,  6,  6,  7,  9, 13, 15, 16, 14, 11,  7,  1, -4, -8, -9,23, 4, 9, 542, 12,1547, 16,"","","","",1023,  6,2335,-10,"","","",""
-10, -7, -3,  2,  7, 10, 12, 12, 11, 10,  9,  9, 10, 12, 14, 17, 18, 18, 15, 11,  6,  0, -4, -8,23, 4,10, 642, 12,1611, 18,"","","","",1016,  9,"","","","","",""
 -9, -9, -6, -2,  3,  7, 10, 12, 12, 12, 12, 12, 13, 14, 16, 18, 20, 20, 18, 16, 11,  6,  0, -4,23, 4,11,1639, 20,"","","","","","", 021, -9,"","","","","",""
 -7, -8, -7, -5, -1,  3,  6,  9, 12, 12, 13, 14, 15, 16, 17, 18, 20, 21, 20, 19, 16, 11,  6,  1,23, 4,12,1713, 21,"","","","","","", 115, -8,"","","","","",""
 -2, -5, -6, -6, -4, -1,  2,  6,  9, 11, 12, 14, 15, 16, 17, 18, 19, 20, 20, 20, 18, 15, 12,  7,23, 4,13,1759, 20,"","","","","","", 221, -6,"","","","","",""
  3,  0, -3, -5, -5, -4, -2,  1,  5,  8, 10, 12, 14, 15, 16, 16, 17, 18, 18, 19, 19, 18, 16, 12,23, 4,14,1926, 19,"","","","","","", 344, -5,"","","","","",""
  9,  5,  1, -2, -4, -5, -5, -3,  0,  4,  7, 10, 12, 13, 14, 14, 14, 14, 14, 15, 16, 17, 17, 16,23, 4,15,2134, 17,"","","","","","", 514, -5,"","","","","",""
 13, 10,  7,  3, -1, -3, -5, -5, -3,  0,  4,  8, 10, 12, 12, 12, 11, 10, 10, 10, 11, 13, 15, 16,23, 4,16,14 0, 12,2320, 16,"","","","", 626, -5,1815, 10,"","","",""
 16, 14, 11,  7,  3,  0, -3, -5, -4, -2,  2,  6,  9, 11, 11, 10,  9,  7,  5,  5,  5,  7, 10, 13,23, 4,17,1353, 11,"","","","","","", 722, -5,1912,  5,"","","",""
 15, 15, 14, 12,  8,  4,  0, -2, -4, -3,  0,  4,  8, 10, 11, 10,  8,  5,  2,  0,  0,  0,  3,  7,23, 4,18, 045, 15,14 0, 11,"","","","", 8 7, -4,20 2,  0,"","","",""
 11, 14, 15, 14, 11,  8,  4,  1, -1, -1,  0,  4,  8, 11, 12, 12,  9,  6,  1, -2, -4, -5, -3,  0,23, 4,19, 159, 15,1414, 12,"","","","", 845, -2,2050, -5,"","","",""
  6, 10, 13, 14, 14, 11,  8,  5,  2,  1,  2,  4,  8, 12, 14, 14, 12,  8,  3, -2, -6, -8, -8, -5,23, 4,20, 3 7, 14,1433, 14,"","","","", 918,  1,2136, -8,"","","",""
 -1,  5, 10, 13, 14, 13, 11,  8,  6,  5,  5,  6,  9, 12, 15, 16, 15, 12,  7,  1, -4, -8,-10, -9,23, 4,21, 411, 14,1455, 16,"","","","", 946,  5,2220,-10,"","","",""
 -6, -1,  5,  9, 12, 14, 13, 11, 10,  8,  8,  9, 10, 13, 16, 18, 18, 15, 11,  5, -1, -5, -9,-10,23, 4,22, 511, 14,1518, 18,"","","","",10 5,  8,23 3,-10,"","","",""
 -9, -5,  1,  6, 10, 13, 14, 13, 12, 11, 11, 12, 13, 15, 17, 19, 19, 18, 15, 10,  4, -1, -5, -8,23, 4,23, 611, 14,1540, 20,"","","","", 956, 11,2345, -9,"","","",""
 -8, -7, -3,  2,  7, 10, 13, 14, 14, 13, 14, 14, 15, 16, 18, 20, 21, 20, 18, 14,  9,  4, -1, -4,23, 4,24,1559, 21,"","","","","","","","","","","","","",""
 -6, -6, -4,  0,  4,  7, 11, 13, 14, 14, 15, 16, 17, 18, 19, 20, 21, 21, 19, 17, 13,  8,  4,  0,23, 4,25,1615, 21,"","","","","","", 027, -6,"","","","","",""
 -3, -4, -3, -1,  2,  5,  8, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 21, 20, 18, 15, 12,  8,  4,23, 4,26,1628, 21,"","","","","","", 113, -4,"","","","","",""
